Product,Brand,Quantity,Store,Country,URL
Tartines craquantes multi céréales,Cereal bio,,,France,https://world.openfoodfacts.org/product/3535684478885/tartines-craquantes-multi-cereales-cereal-bio
Façon tajine marocain,Céréal bio,,,France,https://world.openfoodfacts.org/product/3175681038776/facon-tajine-marocain-cereal-bio
Galette de sarrasin et comté BIO,Céréal BIO,,,France,https://world.openfoodfacts.org/product/3639011033768/galette-de-sarrasin-et-comte-bio-cereal-bio
Cereal miel,Cerealspace,,,France,https://world.openfoodfacts.org/product/0377440447024/cereal-miel-cerealspace
Paleo cereal,,,,France,https://world.openfoodfacts.org/product/3425248011927/paleo-cereal
Financier alle mandorle senza zucchero,Céréal,,,France,https://world.openfoodfacts.org/product/3175681290990/financier-alle-mandorle-senza-zucchero-cereal
Tartines craquantes sarrasin,Cereal bio,,,France,https://world.openfoodfacts.org/product/3738836867746/tartines-craquantes-sarrasin-cereal-bio
Tofu aux herbes,Cereal,,,France,https://world.openfoodfacts.org/product/3659011033933/tofu-aux-herbes-cereal
Pita Brottasche,,250g,REWE,Germany,https://world.openfoodfacts.org/product/4337256633178/pita-brottasche
Small leaf oat flaked,Golden Bridge,500g,,Germany,https://world.openfoodfacts.org/product/4061462266935/small-leaf-oat-flaked-golden-bridge
Premium Müsli,Golden Bridge,500 g,,Germany,https://world.openfoodfacts.org/product/4061464835658/premium-musli-golden-bridge
Schoko Müsli,Golden Bridge,,,Germany,https://world.openfoodfacts.org/product/4061464833821/schoko-musli-golden-bridge
Linguine,Combino,500g,,Germany,https://world.openfoodfacts.org/product/4056489822523/linguine-combino
Milk buns,Tastino,,,Germany,https://world.openfoodfacts.org/product/4056489120155/milk-buns-tastino
Fruit rounds,Millville,,Aldi,Germany,https://world.openfoodfacts.org/product/4061462408076/fruit-rounds-millville
High protein,Mestemacher,,,Germany,https://world.openfoodfacts.org/product/4000446061371/high-protein-mestemacher
Haferkraft zero Apfel,Corny,140g (4 Riegel á 35g),,Germany,https://world.openfoodfacts.org/product/4011800525415/haferkraft-zero-apple-corny
Baguettes chef select,Lidl,,Lidl,Germany,https://world.openfoodfacts.org/product/4056489447559/baguettes-chef-select-lidl
Weizenbrötchen,Brotland,,,Germany,https://world.openfoodfacts.org/product/4071800054735/weizenbrotchen-brotland
Apfel Johannisbeere Getreideriegel,Babydream,,,Germany,https://world.openfoodfacts.org/product/4305615968971/apfel-johannisbeere-getreideriegel-babydream
Kräuterbaguette,Chef select,,Lidl,Germany,https://world.openfoodfacts.org/product/4056489816515/krauterbaguette-chef-select
Sprouted 7 gram bread,simply nature,"1 loaf, 20.5 ounces",,Germany,https://world.openfoodfacts.org/product/4061464738485/sprouted-7-gram-bread-simply-nature
Krokante muesli,,45 gram,,Germany,https://world.openfoodfacts.org/product/4065019138485/krokante-muesli
Bio Hafer Crunchy,REWE Frei von,,REWE,Germany,https://world.openfoodfacts.org/product/4337256692564/bio-hafer-crunchy-rewe-frei-von
Meisterkorn - Weizenmischbrot,"Aldi, Goldback, Goldähren",750 g,,Germany,https://world.openfoodfacts.org/product/4061462911552/meisterkorn-weizenmischbrot-aldi
Dinkeltoastbrötchen,REWE Beste Wahl,"6 x 55,83 = 335 g",REWE,Germany,https://world.openfoodfacts.org/product/4337256754705/dinkel-toastbrotchen-rewe-beste-wahl
Energie bar,enerBiO,45 g,Rossmann,Germany,https://world.openfoodfacts.org/product/4305615986463/superfoodriegel-energy-bar-enerbio
Spaghetti,Dorfmühle,500g,,Germany,https://world.openfoodfacts.org/product/4000398254043/spaghetti-dorfmuhle
Corny Chocolat Banane,Corny,,,Germany,https://world.openfoodfacts.org/product/4011800584511/corny-chocolat-banane
Haferflocken zartblatt,"Bauck Hof, Bauckhof",,,Germany,https://world.openfoodfacts.org/product/4015637003344/haferflocken-zartblatt-bauck-hof
Strawberry Caramel Toffee Porridge,"My muesli, mymuesli",45g,,Germany,https://world.openfoodfacts.org/product/4251680806482/strawberry-caramel-toffee-porridge-my-muesli
Arabisches Fladenbrot,Baked for you,5pcs,,Germany,https://world.openfoodfacts.org/product/4045996080151/arabisches-fladenbrot-baked-for-you
Bio Frucht Getreide Riegel Apfel Banane,Babylove,25g,,Germany,https://world.openfoodfacts.org/product/4066447114140/frucht-getreide-riegel-apfel-banane-babylove
Saucisse seitan,Koro,,,Germany,https://world.openfoodfacts.org/product/4255582802955/saucisse-seitan-koro
Pain complet seigle,Pema,,,Germany,https://world.openfoodfacts.org/product/4000358055796/pain-complet-seigle-pema
Arabisches Fladenbrot,Baked for you,330g,,Germany,https://world.openfoodfacts.org/product/4045996080274/arabisches-fladenbrot-baked-for-you
More cereals,More Nutrition,1pcs,,Germany,https://world.openfoodfacts.org/product/4255719300842/more-cereals-more-nutrition
Designer Whey Protein Cinnamon Cereal Flavour,ESN,30 gram,,Germany,https://world.openfoodfacts.org/product/4250519665542/designer-whey-protein-cinnamon-cereal-flavour-esn
Milchbrötchen,Kronenbrot,220 g,,Germany,https://world.openfoodfacts.org/product/4071800060460/milch-brotchen-kronenbrot
Crunchy muesli plus,Vitalis,,,Germany,https://world.openfoodfacts.org/product/4000521010294/crunchy-muesli-plus-vitalis
L'oven Fresh Bagel Skinnys,Aldi,13 oz,Aldi,Germany,https://world.openfoodfacts.org/product/4099100031218/l-oven-fresh-bagel-skinnys-aldi
